0,15
0,16
0,17
0,18

1,2
1,12
1,15
1,16
1,17
1,18
1,19

2,5
2,7
2,8
2,9
2,10
2,12
2,15
2,16
2,17
2,18
2,19

3,5
3,15
3,16
3,17
3,18
3,19

4,0
4,1
4,2
4,3
4,5
4,7
4,8
4,9
4,10
4,12
4,13
4,15
4,16
4,17
4,18
4,19

5,15
5,16
5,17
5,18
5,19

6,0
6,1
6,3
6,8
6,9
6,11
6,15
6,16
6,17
6,18
6,19

7,1
7,15
7,16
7,17
7,18
7,19

8,5
8,7
8,9
8,10
8,11
8,12
8,13
8,15
8,16
8,17
8,18
8,19

9,1
9,3
9,5
9,7
9,15
9,16
9,17
9,18
9,19

10,3
10,5
10,7
10,9
10,10
10,11
10,12
10,15
10,16
10,17
10,18
10,19

11,5
11,15
11,16
11,17
11,18
11,19

12,1
12,5
12,6
12,11
12,15
12,16
12,17
12,18
12,19

13,1
13,11
13,15
13,16
13,17
13,18
13,19

14,1
14,4
14,5
14,15
14,16
14,17
14,18
14,19
